Qty,Value,Device,Package,Parts,Description,DATASHEETURL,DESCRIPTION,FAMILY_NAME,DIGIKEY_PART_NUMBER,INDUSTRY_STD_PKG_TYPE,MANUFACTURER,MANUFACTURER_PART_NUMBER,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE_DESIGNATOR,PIN_COUNT,PROD_ID,VENDOR
1,,10-XX,B3F-10XX,RESET,OMRON SWITCH,,Reset Switch,,SW400-ND,,,,,B3F-1000,176432,36M3542,,,,
4,,LED3MM,LED3MM,"POWER, RX, STATUS, TX",LEDs,,,,,,,,,,,,,,,
11,0.1uF,C-USC1206,C1206,"C1, C2, C4, C5, C6, C7, C8, C28, C29, C34, C35","CAPACITOR, American symbol",,,,,,,,,,,,,,,
1,10k,R-US_M1206,M1206,R3,"RESISTOR, American symbol",,,,,,,,,,,,,,,
2,10uF,C-USC1206,C1206,"C31, C32","CAPACITOR, American symbol",,,,,,,,,,,,,,,
1,170,R-US_M1206,M1206,R6,"RESISTOR, American symbol",,,,,,,,,,,,,,,
2,1K,R-US_M1206,M1206,"R8, R9","RESISTOR, American symbol",,,,,,,,,,,,,,,
4,1uF,4R-NEXB38V,EXB38V,"CN1, CN2, CN3, CN4",Array Chip Resistor,,,,,,,,,,unknown,unknown,,,,
1,2.52K,R-US_M1206,M1206,R12,"RESISTOR, American symbol",,,,,,,,,,,,,,,
1,280,R-US_M1206,M1206,R1,"RESISTOR, American symbol",,,,,,,,,,,,,,,
1,300,R-US_M1206,M1206,R7,"RESISTOR, American symbol",,,,,,,,,,,,,,,
1,315,R-US_M1206,M1206,R2,"RESISTOR, American symbol",,,,,,,,,,,,,,,
1,500mA,PTCSMD,PTC-1206,F1,Resettable Fuse PTC,,,,,,,,,,,,,,RES-11150,
1,ANALOGHEADER,ANALOGHEADER,ANALOGHEADER,U$12,,,,,,,,,,,,,,,,
1,ATMEGA2560AU,ATMEGA2560AU,TQFP100,GND,MICROCONTROLLER,,,,,,,,,,,,,,,
1,AVR_SPI_PRG_6PTH,AVR_SPI_PRG_6PTH,2X3,J1,AVR ISP 6 Pin,,,,,,,,,,,,,,,
1,DIGITALIN,DIGITALIN,DIGITALIN,U$2,,,,,,,,,,,,,,,,
1,DIGITALOUTPUTS,DIGITALOUTPUTS,DIGITALOUT,U$11,,,,,,,,,,,,,,,,
1,FT232RLSSOP,FT232RLSSOP,SSOP28DB,U4,USB UART,,,,,,,,,,,,,,,
1,PWMHEADER,PWMHEADER,PWMHEADER,U$10,,,,,,,,,,,,,,,,
1,RESONATORSMD,RESONATORSMD,RESONATOR-SMD,Y1,Resonator,,,,,,,,,,,,,,,
1,TLC59282_DBQ_24,TLC59282_DBQ_24,DBQ24,U1,,http://www.ti.com/lit/gpn/TLC59282,16-Channel Constant Current LED Driver with 4-Channel Grouped Delay,LED DRIVER,TLC59282,SSOP/QSOP,Texas Instruments,tlc59282_dbq_24,,,,,DBQ,24,,Texas Instruments
1,UE27BC54130-USB,UE27BC54130-USB,UE27BC54130-USB,U$14,,,,,,,,,,,,,,,,
